track_name,artist_name,id,url,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
IDOL,BTS,2AIWoHr9DF6y4KALCBKWQS,https://api.spotify.com/v1/tracks/2AIWoHr9DF6y4KALCBKWQS,0.00481,0.734,0.855,0,0.123,-3.211,0.118,126.035,0.422
FAKE LOVE,BTS,3aW0ds4A4tSQDIp75FqWTo,https://api.spotify.com/v1/tracks/3aW0ds4A4tSQDIp75FqWTo,0.00267,0.557,0.719,0,0.306,-4.515,0.0372,77.501,0.344
LA DI DA,EVERGLOW,6mIjJONoUMvGPT9Kzrab3L,https://api.spotify.com/v1/tracks/6mIjJONoUMvGPT9Kzrab3L,0.00108,0.477,0.85,0,0.0675,-1.486,0.0911,163.845,0.601
FANCY,TWICE,0W5hTAWn8Tq0Qfhg1XP3YW,https://api.spotify.com/v1/tracks/0W5hTAWn8Tq0Qfhg1XP3YW,0.0122,0.697,0.874,0,0.627,-2.15,0.045,132.022,0.775
Heart Shaker,TWICE,52FCAZn0YEkZfF0BtiAUMW,https://api.spotify.com/v1/tracks/52FCAZn0YEkZfF0BtiAUMW,0.105,0.564,0.944,0,0.154,-0.532,0.0647,164.062,0.857
Feel Special,TWICE,3Hz3tTQwOdM6XkA0ALB2G9,https://api.spotify.com/v1/tracks/3Hz3tTQwOdM6XkA0ALB2G9,0.0296,0.708,0.959,0.00188,0.107,-1.338,0.0604,128.981,0.644
Not Shy,ITZY,4ecVWqbtW6phQGpZMAyqIU,https://api.spotify.com/v1/tracks/4ecVWqbtW6phQGpZMAyqIU,0.155,0.776,0.911,2.59E-06,0.268,-3.08,0.131,101.027,0.56
BAAM,MOMOLAND,4Is1b37KJY9XVCgzp81FBW,https://api.spotify.com/v1/tracks/4Is1b37KJY9XVCgzp81FBW,0.115,0.725,0.94,0.00431,0.0864,-2.32,0.0435,127.051,0.905
Open Fire,The VANE,65pipJGXaATPewXISzxPAT,https://api.spotify.com/v1/tracks/65pipJGXaATPewXISzxPAT,0.0161,0.329,0.89,0.000246,0.13,-4.072,0.0883,160.112,0.201
Blue Bird,AILEE,13IuATTOvkbexVRNuiXeVc,https://api.spotify.com/v1/tracks/13IuATTOvkbexVRNuiXeVc,0.249,0.482,0.574,0,0.0702,-4.71,0.0269,147.952,0.127
